8.05	50	7.632040378
8.1	50	7.141540378
8.15	50	6.651040378
8.2	50	6.160540378
8.25	50	5.670040378
8.3	50	5.179540378
8.35	50	4.689040378
8.4	50	4.198540378
8.45	50	3.708040378
8.5	50	3.217540378
8.55	50	2.727040378
8.6	50	2.236540378
8.65	50	1.746040378
8.7	50	1.255540378
8.75	50	0.765040378
8.8	50	0.274540378
8.85	50	-0.215959622
8.9	50	-0.706459622
8.95	50	-1.196959622
9	50	-1.687459622
9.05	50	-2.177959622
9.1	50	-2.668459622
9.15	50	-3.158959622
9.2	50	-3.649459622
9.25	50	-4.139959622
9.3	50	-4.630459622
9.35	50	-5.120959622
9.4	50	-5.611459622
9.45	50	-6.101959622
9.5	50	-6.592459622
9.55	50	-7.082959622
9.6	50	-7.573459622
9.65	50	-8.063959622
9.7	50	-8.554459622
9.75	50	-9.044959622
9.8	50	-9.535459622
9.85	50	-10.02595962
9.9	50	-10.51645962
9.95	50	-11.00695962
10	50	-11.49745962
