0	0
0.2	19.8038
0.4	39.2152
0.6	58.2342
0.8	76.8608
1	95.095
1.2	112.9368
1.4	130.3862
1.6	147.4432
1.8	164.1078
2	180.38
2.2	196.2598
2.4	211.7472
2.6	226.8422
2.8	241.5448
3	255.855
3.2	269.7728
3.4	283.2982
3.6	296.4312
3.8	309.1718
4	321.52
4.2	333.4758
4.4	345.0392
4.6	356.2102
4.8	366.9888
5	377.375
5.2	387.3688
5.4	396.9702
5.6	406.1792
5.8	414.9958
6	423.42
6.2	431.4518
6.4	439.0912
6.6	446.3382
6.8	453.1928
7	459.655
7.2	465.7248
7.4	471.4022
7.6	476.6872
7.8	481.5798
8	486.08
8.2	490.1878
8.4	493.9032
8.6	497.2262
8.8	500.1568
9	502.695
9.2	504.8408
9.4	506.5942
9.6	507.9552
9.8	508.9238
10	509.5
10.2	509.6838
10.4	509.4752
10.6	508.8742
10.8	507.8808
11	506.495
11.2	504.7168
11.4	502.5462
11.6	499.9832
11.8	497.0278
12	493.68
12.2	489.9398
12.4	485.8072
12.6	481.2822
12.8	476.3648
13	471.055
13.2	465.3528
13.4	459.2582
13.6	452.7712
13.8	445.8918
14	438.62
14.2	430.9558
14.4	422.8992
14.6	414.4502
14.8	405.6088
15	396.375
15.2	386.7488
15.4	376.7302
15.6	366.3192
15.8	355.5158
16	344.32
16.2	332.7318
16.4	320.7512
16.6	308.3782
16.8	295.6128
17	282.455
17.2	268.9048
17.4	254.9622
17.6	240.6272
17.8	225.8998
18	210.78
18.2	195.2678
18.4	179.3632
18.6	163.0662
18.8	146.3768
19	129.295
19.2	111.8208
19.4	93.9542
19.6	75.6952
19.8	57.0438
20	38
20.2	18.5638
20.4	-1.2648
